# Created by Octave 6.4.0, Thu Apr 11 16:57:31 2024 CEST <pauline@nanotower>
# name: N
# type: scalar
200


# name: P1
# type: complex matrix
# rows: 84
# columns: 42
 (0.19920792619277816,0.095037035285339216) (0.27539080249911707,0.024756765986711955) (-0.15424943363313645,-0.15232142554080666) (-0.25174296534524937,0.031279105596255907) (-0.42140531015937266,0.076435965865146963) (0.21553369998616623,0.019228097198994307) (0.45080657512286787,0) (-0.0030645927849029253,-0.39125392476370729) (0.41588033806252622,0) (-0.17054657252299185,0.40564564176604107) (-0.29565717420233872,-0.15964180898326705) (-0.083601285914117543,-0.19386502703569006) (0.14856255851738037,0.0036132497466657386) (-0.0660016541926986,-0.065821452091154323) (0.0010740437961286077,-0.043742466070705276) (0.009848085749250864,0.010765594918700553) (0.027914229234706892,-0.0081520406921328503) (-0.013382159532034796,-0.0018107057783661546) (0.0041917750439942484,0.0033915878427899049) (0.0063460854077043612,-0.0020975081178345859) (-0.017311537755029371,-0.0025488556544662642) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (0.3596169119411734,0.080399048041674817) (0.41749899984763555,0) (-0.14930083062604099,-0.1305262440606185) (-0.13981679634019617,0.14807528151138602) (-0.29522387791292726,0.12214255789805195) (0.23337461857228317,-0.039944784143072107) (0.18849137590316001,0.1032540945509066) (0.011962325594383927,0.14717600033538517) (-0.26382919276360722,-0.13696687373585731) (0.051546880260622069,-0.30885595926061349) (0.44303983432967636,0) (0.20922999163671555,0.37746146511667211) (-0.27421670385246943,-0.08557211147370114) (0.14696474771474391,0.067827490908200005) (0.084810900036542375,0.0059600811351959021) (0.033319545202573797,0.013215256270090523) (0.015759117648114818,-0.0054579913852914764) (-0.010810107906450797,-0.0045317062360493241) (0.0026307668213501889,0.0029084015718153214) (0.0061442704309780261,-0.00078051393422312793) (-0.011760033367995231,-0.0038688110525573146) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (0.395595343502745,0) (0.38597225089242027,-0.027150451211359158) (0.023403692817988389,-0.036667505463212104) (0.17879971827909086,0.14048934072552297) (0.044839594834669011,-0.0075329750296083305) (0.20747963054831414,-0.10723795112226628) (-0.15761101353982723,0.23875100173547831) (0.10444996201147064,0.40678085206501369) (-0.2610581747450138,-0.0054889034675828369) (-0.025563979354177358,-0.0082778687974737822) (-0.21029499669899104,-0.0088761785705601393) (-0.25265829354650704,-0.2674422929679397) (0.42643811589778968,0) (-0.3141182148928427,-0.13268944392239701) (-0.16109213695670832,-0.047964910776412954) (-0.057988523152066762,0.022833711497881416) (0.033797538934527138,0.0033777329483955943) (-0.014834083538113675,0.00017706985873438327) (0.0033286244566467483,0.0022211566502445602) (0.006143971022121472,-0.0016599249439644701) (-0.012641459912835225,-0.00037449312323275868) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (0.31048707845100032,-0.073846849590970487) (0.24604707813375751,-0.01783544218189919) (0.23731712743738001,0.015285560820864179) (0.38421889664195669,0) (0.12835964733595606,-0.10239716767713125) (0.15952149641399202,-0.16244357775068619) (-0.080629632656092756,0.14717540441289986) (-0.0072277772529361246,0.071122096743727742) (0.20339372449649101,-0.090697451932713627) (0.020563803801304563,0.35500963277962971) (-0.17760124694020021,-0.019580686701019492) (0.069505095887831297,0.077147137055765425) (-0.34752327164022284,-0.0079325149665932827) (0.40548798805572073,0.060966470759469843) (0.3381837869150528,-0.03397889371356716) (0.18911184606597906,-0.04869179781744102) (-0.041532288650364263,-0.041760829600674482) (-0.0032363841599530518,-0.014879089358011643) (0.0033691251137289392,0.0015960279177690238) (0.0060427913506077248,-0.0025868813135174417) (-0.013324535513353915,-0.00054691263142392713) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (0.16705406218238994,-0.097323924698586167) (0.094129634919368654,0.025926329058532253) (0.36125069636334661,0) (0.34487594154130258,-0.12226758709625579) (-0.01691284222534619,0.00058251796737043404) (0.098915573188847403,-0.20360237425496397) (0.13927456355525145,-0.084801658424523405) (-0.15954305128791704,-0.14795579293286326) (0.13391926626710896,-0.15700716633291292) (-0.016112516038104006,0.023874993185400581) (0.2159060575677525,-0.14054451068178281) (0.20662079289433491,0.14261719245995713) (0.043867964252233466,-0.022962659600978687) (-0.33116279812866112,-0.024964223830570759) (-0.42733660941761642,0.06536080022371335) (-0.29544721597618462,0.17635585529671502) (0.18383318287708239,0.050175784364171742) (-0.040347516704687184,0.058854690517007986) (0.0032766027246107815,0.0010718078677468101) (0.006053652532353581,-0.0020158744385007634) (-0.00083545611568213514,0.010048679754195313) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (0.035159821289755394,-0.072089372389572984) (-0.0054494475797760115,0.07339343511767446) (0.35333738031822248,-0.039427639542523263) (0.16644331235155435,-0.12371145208132381) (-0.13193865806808386,0.18203256249022215) (0.022922681263974093,-0.22594759584077384) (0.19294322251974602,-0.17155749452586752) (-0.083661660094984325,-0.032240745634467098) (-0.14973602517492973,0.0071751892906676412) (-0.10453672503780143,-0.1457510213365657) (0.05542682616718525,-0.058273568762172746) (-0.13553325711096917,-0.02728037355751349) (0.20395685917092515,-0.11829652802753896) (-0.038970392399634499,-0.013179338264925705) (0.29388909066224167,-0.12879166991415769) (0.3780238427329477,-0.27333008944526949) (-0.3508828111597736,-0.077067777310954558) (0.037185215434488217,-0.18229731333184718) (0.0028260963782424237,0.0003993107198940059) (0.0029727008093789107,-0.011958838017217172) (-0.058605999884744624,-0.023576051395038686) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.045355951012588658,-0.027607052070168236) (-0.040305632950814962,0.096202161995931013) (0.25811453564631309,-0.058158775493447314) (0.010511431920290384,-0.035164530537625638) (-0.12001179208899915,0.25852847281570596) (-0.065783349016292139,-0.21342860146340317) (0.11956829659363415,-0.062419015557514258) (0.10453866957920296,0.11254365908845572) (-0.16236661509023312,0.11507422040914336) (-0.022660642382978529,0.026950854497103174) (-0.12921655244098923,0.088812894190080066) (-0.12834044395539362,-0.0035965926570602144) (-0.087386320402024126,0.026514322745694461) (0.1945680870745625,-0.08394895413672579) (0.045143889585840952,-0.045967162691853719) (-0.16393077392302796,0.20436048958384467) (0.48250987467584883,0) (-0.053610126239814704,0.40059856256836479) (0.0049564969474811937,0.0025451850152199171) (0.028932584236572804,0.039177181414227498) (0.17328410384802431,0.065062769063949921) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.071289820781781782,0.0068253970847217335) (-0.032490471655464363,0.087401295632827058) (0.14611222401584228,-0.046511407772312927) (-0.051014284946347258,0.05285879654672359) (-0.054683772550175334,0.20048422207481914) (-0.1433078495630086,-0.15577823237291305) (0.054952146309242056,0.075063602857521686) (0.17764867593824732,0.11997434817736863) (-0.026326292239883003,0.036439574009481827) (0.094356459642314955,0.13687549239623037) (-0.071002665740642262,0.051464146830112974) (0.082204093910140594,0.020480439569660214) (-0.10450056974971032,0.086854032197908868) (-0.032304844641598836,-0.0039874734600076327) (-0.1588068784932182,0.12395605388704371) (-0.046670347420427728,0.10106475829706102) (-0.23188324292805951,0.026846476129064961) (-0.04419366812625386,-0.47695104401872812) (-0.028804788530449085,-0.018335501212551633) (-0.11851354629387559,-0.16415282063747069) (-0.42531575359517182,-0.070430264514695945) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.060603419857018191,0.018997775956063306) (-0.011085767800557575,0.058653299191734662) (0.062648191787264038,-0.021693885268564993) (-0.040209346746130054,0.084296138745131297) (-0.011459097698994565,0.096630574223475291) (-0.17907459760246594,-0.073855316749784738) (0.033538870614627569,0.1181228890594393) (0.11688584217709974,0.059225839909877134) (0.035618186483983807,-0.068423494755793179) (0.094900789414853096,0.09148142977789836) (0.010373960639355664,-0.05152758206537892) (0.12098149481553626,-0.005809913205613193) (0.0090172682890930275,-0.0096145444737572479) (-0.1144833999924286,0.073347178107823485) (-0.020802782038758554,0.024697045009239561) (0.073969098245788567,-0.15131578512231425) (-0.13897107318018748,0.048129881120736802) (0.034394214684997093,0.16623523680140312) (0.17370305555816959,0.075355966331927621) (0.34173548880007359,0.31116404689038557) (0.48612280115591433,0) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.032992598010341725,0.013327421866928962) (0.0040300420417181005,0.025898404367855874) (0.016973795901782423,-0.0031077850513704106) (-0.0062098356342305469,0.059676639642723434) (0.00012725769129741382,0.02354321868838629) (-0.17259747190747279,-0.0093526103315855202) (0.031187441848393543,0.076474526151677824) (0.034285619442039006,0.012284873519368448) (0.0094357247877510757,-0.087216529802744941) (0.034783050244699999,0.021654019566921017) (0.011723707442830831,-0.077498162852910085) (0.046397119418408919,-0.015359985588535871) (0.028075556713791416,-0.070847734491512146) (-0.042098597445104309,0.048201003905465056) (0.037238039178092722,-0.079274230010196289) (0.019249286439198848,-0.10286865247350906) (0.08830315806586958,-0.053529391085157703) (0.084619196279131004,0.17509898505288157) (-0.47430484488094682,-0.11181636564361064) (-0.4192722506955488,-0.25852437521978378) (-0.098478082973130251,0.019550721392221953) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-3.8270903415799158e-05,-5.7867096483642914e-05) (0.0038302963211992664,-0.0017045352752305218) (1.2971735438471627e-05,-1.85375385683046e-05) (0.020103484927467538,0.0048259186162119766) (2.4633430857234615e-05,9.373967108192708e-05) (-0.15802143163151128,0.022368900226216862) (0.038058784271718431,0.0051746147577717821) (6.6570915603480181e-05,3.5622273400105038e-05) (-0.044932032247090033,-0.047628008228802504) (4.1843750288972985e-05,4.4656109382082385e-05) (-0.030822424197231822,-0.052014542287147823) (4.9995499663950255e-05,1.9135069735707605e-05) (-0.017697015445227181,-0.069043667184686519) (-3.7211145647415827e-05,3.4259044853550624e-06) (-0.0079823801344938994,-0.093601500919959515) (3.1586607669231339e-05,-1.6413991249763217e-05) (0.078163562151981225,-0.11602986760783565) (-1.448444572560743e-05,2.244270638313282e-05) (0.67156111705839527,0) (1.5534153266937773e-06,-1.4026371842824587e-05) (-0.2076677103415191,0.12125482206688112) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
