Environnement : Air / n = 1 
Cube : Argent / n(lambda) / 70 nm
Gap diélectrique / n = 1.45 / 5 nm
Fonctionnalisation diélectrique / n = 1.45 / 1 nm
Couche métallique : Or / n(lambda) / 20 nm
Substrat : SiO2 / n = 1.5 / 200 nm

Wavelengths (nm) 	 Rd 	 Rd_mol	 Ru 	 Ru_mol 	 Td 	 Td_mol	 Tu 	 Tu_mol 
450.0, 0.17303900986460333	, 0.17109637937260055	, 0.09641275691682903	,0.09564686758021905	,0.3071709556506779	,0.3093739058779292	,0.3071709556500715	,0.3093739058773253
463.2911392405063, 0.17630634096699727	, 0.17454110245760246	, 0.08639434510325958	,0.08609611375444343	,0.31958607370263137	,0.3205936813949397	,0.3195860737024361	,0.32059368139478056
476.5822784810127, 0.18028099469767322	, 0.1788426571490084	, 0.07711299812750913	,0.07651706585612765	,0.3417936613389461	,0.3417918696225922	,0.3417936613393213	,0.34179186962300767
489.873417721519, 0.18552592711108004	, 0.18434396190200583	, 0.07124414214622353	,0.06986456026594623	,0.36817097040496705	,0.3675294532776776	,0.36817097040499575	,0.36752945327777087
503.1645569620253, 0.19272959901275344	, 0.19150618218203222	, 0.07059008363790246	,0.06818074358359527	,0.3951107838590192	,0.39440220762791023	,0.3951107838583467	,0.3944022076272115
516.4556962025316, 0.20228805075964262	, 0.2006338001320823	, 0.07606139437348904	,0.0726295491754472	,0.4206779688500679	,0.42048565729750514	,0.42067796885028197	,0.4204856572976687
529.746835443038, 0.21399795225671311	, 0.21162181629213167	, 0.08972132043280961	,0.08546807049996917	,0.44426332104280347	,0.4449574942406401	,0.44426332104282906	,0.4449574942406944
543.0379746835443, 0.2292836221273887	, 0.22617907629595607	, 0.11332083711917153	,0.1085436604948424	,0.46281898912737823	,0.46435880086958276	,0.4628189891271915	,0.46435880086939907
556.3291139240506, 0.24946391735378506	, 0.2458668291493975	, 0.14545701563819957	,0.14009427768336855	,0.47412921351147463	,0.47587830950136345	,0.4741292135120046	,0.4758783095016881
569.620253164557, 0.2770096335271013	, 0.27220881464200636	, 0.18763933484929365	,0.1810226022973953	,0.47663333209781483	,0.4794782004399345	,0.47663333209816894	,0.4794782004404369
582.9113924050632, 0.31628646406176264	, 0.31027958948097756	, 0.2340499052145332	,0.228011890621987	,0.4596726938884589	,0.46476989767427246	,0.45967269388792314	,0.4647698976738691
596.2025316455696, 0.360038907734952	, 0.35443271859203823	, 0.26207186757109024	,0.2597893473066556	,0.4222858581346208	,0.42852762870727734	,0.42228585813481856	,0.42852762870763267
609.493670886076, 0.38025009819543	, 0.37868789819187954	, 0.2473475671859623	,0.24825663447783275	,0.3980664102677139	,0.3986522903860523	,0.39806641026776235	,0.39865229038609096
622.7848101265822, 0.38268268882245904	, 0.3784197295764347	, 0.28198674456373857	,0.2718675252961396	,0.4300070023703563	,0.42905142234750904	,0.43000700237089967	,0.4290514223480641
636.0759493670886, 0.41868174882586	, 0.4119458158158815	, 0.36302551959215623	,0.3530553709337836	,0.4292165296643267	,0.4331370127209894	,0.42921652966450424	,0.43313701272123806
