Environnement : Air / n = 1.0 
Cube : Argent / n(lambda) / 70 nm
PVP : n = 1.45 / 4 nm
Gap diélectrique : n = 1.45 / 5 nm
Molécules : delta_n = 0.01 / 3 nm 
Fonctionnalisation diélectrique / n = 1.45 / 1 nm
Accroche substrat-metal : Chrome / n(lambda) / 0 nm
Couche métallique : Or / n(lambda) / [5-40] nm
Substrat : SiO2 / n = 1.5 / 200 nm

Gold thickness (nm) 	 Wl Ru 	 Wl Rd \ Wl Tu 	 Wl Td 	 S_Ru 	 S_Rd 	 S_Tu 	 S_td 
5, 1178.2828282828282	, 1184.848484848485	, 1204.5454545454545	,1204.5454545454545	,3.9334296740001107	,3.6669616543081403	,6.02992364825265	,6.029923648263807
7, 1040.4040404040404	, 1046.969696969697	, 1060.1010101010102	,1060.1010101010102	,5.42073811892301	,5.0094568919018725	,7.086318500495247	,7.086318500556238
9, 955.0505050505051	, 961.6161616161617	, 974.7474747474747	,974.7474747474747	,6.663014364318401	,5.980583914030352	,7.662691283645162	,7.662691283470485
11, 895.959595959596	, 909.0909090909091	, 915.6565656565657	,915.6565656565657	,7.606892557791247	,6.524117312538008	,7.83019996604295	,7.830199965960927
13, 856.5656565656566	, 869.6969696969697	, 876.2626262626262	,876.2626262626262	,8.304022523052465	,6.784927536600504	,7.763774455466038	,7.763774455498046
15, 895.959595959596	, 850.0	, 850.0	,850.0	,4.447893053938678	,5.803393862891181	,7.3898772153616505	,7.389877215328205
17, 869.6969696969697	, 895.959595959596	, 850.0	,850.0	,5.031432274686089	,1.6939677588601043	,3.3403035005407755	,3.3403035005576176
19, 850.0	, 876.2626262626262	, 902.5252525252525	,902.5252525252525	,5.567506731608285	,1.6675078024860512	,0.9038209815447007	,0.9038209815631582
21, 850.0	, 863.1313131313132	, 882.8282828282828	,882.8282828282828	,5.353193631847866	,1.609506207833833	,0.8970110048704905	,0.8970110048651392
23, 850.0	, 850.0	, 863.1313131313132	,863.1313131313132	,4.758983854684207	,1.535097214140524	,0.8726275137554362	,0.8726275137287853
25, 850.0	, 850.0	, 856.5656565656566	,856.5656565656566	,4.1816882528694475	,1.3797939674357496	,0.8371170406554884	,0.8371170406711537
27, 850.0	, 850.0	, 850.0	,850.0	,3.6962156802052726	,1.1969957837962175	,0.7852950460857849	,0.7852950460718988
29, 850.0	, 850.0	, 850.0	,850.0	,3.30224131742074	,1.024383556339692	,0.7037094107356034	,0.7037094107242681
31, 850.0	, 850.0	, 850.0	,850.0	,2.984571492968957	,0.8722605610437917	,0.6170334060849797	,0.6170334060756733
33, 850.0	, 850.0	, 850.0	,850.0	,2.7276736695491466	,0.7417216842710017	,0.5352084632319232	,0.5352084632242571
35, 850.0	, 850.0	, 850.0	,850.0	,2.518692306087833	,0.6308903658616472	,0.4616634817453377	,0.4616634817389151
37, 850.0	, 850.0	, 850.0	,850.0	,2.347578068737577	,0.537139341532078	,0.3970988587426741	,0.3970988587373006
39, 850.0	, 850.0	, 850.0	,850.0	,2.2065912556399114	,0.4578767177965237	,0.34109677069042166	,0.34109677068589195
