Thermal	--	--	NH3	--	--	N2	--	--
nm	n	k	nm	n	k	nm	n	k
370,37857	2,40686	0,72804	370,37857	2,28714	0,83831	370,37857	2,24492	1,03313
371,95874	2,41016	0,72252	371,95874	2,29371	0,83415	371,95874	2,25756	1,0331
373,53891	2,41334	0,717	373,53891	2,30015	0,8299	373,53891	2,27016	1,03278
375,11911	2,4164	0,71148	375,11911	2,30646	0,82557	375,11911	2,2827	1,03215
376,69931	2,41933	0,70596	376,69931	2,31263	0,82116	376,69931	2,29518	1,03123
378,27957	2,42213	0,70045	378,27957	2,31868	0,81667	378,27957	2,30758	1,03001
379,8598	2,42481	0,69495	379,8598	2,3246	0,81212	379,8598	2,3199	1,0285
381,44006	2,42738	0,68946	381,44006	2,33038	0,8075	381,44006	2,33212	1,02671
383,02036	2,42982	0,68398	383,02036	2,33602	0,80281	383,02036	2,34424	1,02462
384,60065	2,43215	0,67851	384,60065	2,34154	0,79806	384,60065	2,35625	1,02226
386,18097	2,43436	0,67307	386,18097	2,34692	0,79325	386,18097	2,36814	1,01963
387,76129	2,43645	0,66764	387,76129	2,35216	0,78839	387,76129	2,37989	1,01672
389,34161	2,43843	0,66223	389,34161	2,35727	0,78348	389,34161	2,39151	1,01355
390,922	2,4403	0,65684	390,922	2,36225	0,77853	390,922	2,40298	1,01013
392,50238	2,44206	0,65147	392,50238	2,36709	0,77353	392,50238	2,4143	1,00645
394,08273	2,44372	0,64613	394,08273	2,3718	0,76849	394,08273	2,42545	1,00252
395,66315	2,44526	0,64082	395,66315	2,37638	0,76341	395,66315	2,43643	0,99836
397,24356	2,4467	0,63553	397,24356	2,38082	0,7583	397,24356	2,44724	0,99396
398,82398	2,44804	0,63028	398,82398	2,38513	0,75316	398,82398	2,45786	0,98934
400,40439	2,44928	0,62505	400,40439	2,38931	0,74799	400,40439	2,46829	0,9845
401,98483	2,45041	0,61986	401,98483	2,39336	0,7428	401,98483	2,47853	0,97945
403,56528	2,45145	0,6147	403,56528	2,39727	0,73758	403,56528	2,48857	0,9742
405,14575	2,45239	0,60957	405,14575	2,40106	0,73235	405,14575	2,4984	0,96876
406,72623	2,45323	0,60448	406,72623	2,40472	0,7271	406,72623	2,50801	0,96314
408,3067	2,45398	0,59943	408,3067	2,40825	0,72184	408,3067	2,51742	0,95733
409,88721	2,45464	0,59442	409,88721	2,41166	0,71656	409,88721	2,5266	0,95136
411,46768	2,45521	0,58945	411,46768	2,41494	0,71128	411,46768	2,53556	0,94523
413,04819	2,45569	0,58451	413,04819	2,41809	0,706	413,04819	2,54429	0,93896
414,62872	2,45608	0,57962	414,62872	2,42112	0,70071	414,62872	2,5528	0,93253
416,20923	2,45639	0,57477	416,20923	2,42403	0,69543	416,20923	2,56107	0,92598
417,78973	2,45661	0,56996	417,78973	2,42682	0,69014	417,78973	2,56912	0,9193
419,37027	2,45675	0,56519	419,37027	2,42949	0,68487	419,37027	2,57692	0,91251
420,95078	2,45681	0,56047	420,95078	2,43204	0,67959	420,95078	2,58449	0,90561
422,53134	2,45678	0,5558	422,53134	2,43447	0,67433	422,53134	2,59183	0,89861
424,11188	2,45668	0,55117	424,11188	2,43679	0,66908	424,11188	2,59892	0,89152
425,69244	2,4565	0,54659	425,69244	2,43899	0,66385	425,69244	2,60578	0,88435
427,27301	2,45625	0,54205	427,27301	2,44108	0,65863	427,27301	2,61241	0,8771
428,85352	2,45592	0,53756	428,85352	2,44306	0,65342	428,85352	2,61879	0,8698
430,43408	2,45552	0,53312	430,43408	2,44493	0,64824	430,43408	2,62494	0,86243
432,01465	2,45505	0,52873	432,01465	2,44669	0,64308	432,01465	2,63086	0,85501
433,59522	2,45451	0,52439	433,59522	2,44835	0,63794	433,59522	2,63654	0,84756
435,17578	2,45391	0,5201	435,17578	2,44989	0,63283	435,17578	2,642	0,84007
436,75635	2,45323	0,51585	436,75635	2,45134	0,62774	436,75635	2,64722	0,83255
438,33691	2,45249	0,51166	438,33691	2,45268	0,62268	438,33691	2,65222	0,82501
439,91748	2,45169	0,50752	439,91748	2,45393	0,61766	439,91748	2,65699	0,81746
441,49805	2,45082	0,50343	441,49805	2,45507	0,61266	441,49805	2,66155	0,80991
443,07861	2,44989	0,4994	443,07861	2,45612	0,60769	443,07861	2,66588	0,80235
